time,N,c
0.00E+00,4.12E+00,4.90E-01
1.00E+00,2.45E+00,2.88E+00
2.00E+00,2.00E+00,3.66E+00
3.00E+00,1.76E+00,3.86E+00
4.00E+00,1.82E+00,3.89E+00
5.00E+00,1.68E+00,4.40E+00
6.00E+00,1.72E+00,4.20E+00
7.00E+00,1.58E+00,4.56E+00
8.00E+00,1.57E+00,4.13E+00
9.00E+00,1.56E+00,4.48E+00
1.00E+01,1.63E+00,4.50E+00
1.10E+01,1.60E+00,4.15E+00
1.20E+01,1.35E+00,4.34E+00
1.30E+01,1.46E+00,4.49E+00
1.40E+01,1.47E+00,4.51E+00
1.50E+01,1.46E+00,4.47E+00
1.60E+01,1.53E+00,4.55E+00
1.70E+01,1.37E+00,4.21E+00
1.80E+01,1.53E+00,4.52E+00
1.90E+01,1.60E+00,4.16E+00
